Borrower Name,Lender Name / Role,Sector,RIC,Tranche Type,Issue Date,Maturity Date,Discounted Spread,Tranche Amount (USD),Tranche Amount,Tranche Currency,Market Segment,Region,Market of Issue,Domicile,Specific Purpose,Base Rate / Margin,Seniority,Secured,Tenor,Tranche CUSIP,Ticker,SIC,NAIC,Contributed Pricing Source,LIN,Sponsored,Price (Ask),Price (Bid),Price (Mid),Pricing Source,Yield (to 3 yrs)
KRYALOS SGR SPA,"Intesa Sanpaolo SpA [ISP]:Mandated Lead arranger, UniCredit:Mandated Lead arranger",Investment Management & Fund Operators (NEC),,Term Loan,16-04-24,14-04-28,--,"17,292,207","16,600,000",Euro,"M&A, Investment Grade",EMEA,Italy,Italy,Acquisition,,Senior,,48,,KRSSG,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Services Allied With The Exchange of Securities Or Commodities\Investment Advice",Portfolio Management and Investment Advice,,,No,--,--,--,,--
TURKIYE CUMHURIYETI ZIRAAT BANKASI AS,"ABC International Bank Plc:Arranger, ABSA Bank Ltd [South Africa]:Arranger, Abu Dhabi Commercial Bank PJSC [ADCB]:Mandated Lead arranger, Abu Dhabi Exports Office:Arranger, Abu Dhabi Global Market [ADGM]:Mandated Lead arranger, Altyn Bank:Arranger, Anadolubank Nederland NV:Arranger, Arab Bank Plc:Arranger, Aresbank:Arranger, Attijariwafa Bank:Arranger, BCP Bank (Mauritius) Ltd:Arranger, BNP Paribas SA:Lead arranger, BPER Banca SpA:Arranger, Banca UBAE:Lead arranger, Bank of America Securities:Lead arranger, Bank of China Ltd:Lead arranger, Bank of New York Mellon:Arranger, Banka Kombetare Tregtare Kosove Sh A:Arranger, Banka Kombetare Tregtare SHA:Arranger, Banque de Commerce et de Placements SA [BCP]:Arranger, Barclays Bank Plc:Lead arranger, British Arab Commercial Bank Ltd:Arranger, Byblos Bank Europe SA:Arranger, Caixabank SA:Arranger, Citi:Mandated Lead arranger, Commercial Bank of Dubai PSC:Arranger, Commerzbank AG:Lead arranger, DZ Bank AG:Arranger, Demirbank TAS:Arranger, Deutsche Bank AG:Mandated Lead arranger, Doha Bank QPSC:Arranger, Emirates NBD PJSC [ex-Emirates Bank]:Mandated Lead arranger, Erste Group Bank:Arranger, First Abu Dhabi Bank:Mandated Lead arranger, First City Monument Bank Plc [FCMB]:Arranger, Goldman Sachs & Co:Arranger, Gulf International Bank BSC [GIB]:Arranger, HBL Bank UK:Arranger, HSBC Bank Plc:Mandated Lead arranger, Habib Bank Ltd:Arranger, Housing Bank for Trade & Finance:Arranger, ICBC Standard Bank Plc:Mandated Lead arranger, ING:Mandated Lead arranger, Intesa Sanpaolo SpA [ISP]:Arranger, JP Morgan:Mandated Lead arranger, Jordan Kuwait Bank:Arranger, Kentbank:Arranger, MBH Bank Nyrt:Arranger, Mashreqbank psc:Mandated Lead arranger, Mitsubishi UFJ Financial Group Inc:Mandated Lead arranger, Mizuho Bank Ltd:Mandated Lead arranger, National Bank of Fujairah PSC:Arranger, National Bank of Oman SAOG:Arranger, National Bank of Umm Al-Qaiwain psc:Arranger, Nomura International Plc:Arranger, ODDO BHF [fka BHF Bank AG]:Participant, Oyak Anker Bank GmbH:Arranger, Pasha Yatirim Bankasi AS:Arranger, Qatar National Bank QPSC:Arranger, Rabitabank ASJ:Arranger, Raiffeisen Bank International AG [RBI]:Arranger, Societe Generale SA:Mandated Lead arranger, Standard Chartered Bank Plc [SCB]:Mandated Lead arranger, Sumitomo Mitsui Banking Corp:Mandated Lead arranger, The Commercial Bank (PSQC) [ex-Commercial Bank of Qatar QSC [CBQ]]:Lead arranger, Turkish Bank:Arranger, UniCredit:Arranger, Union de Banques Arabes et Francaises [UBAF]:Arranger, United Arab Bank PJSC [UAB]:Arranger, Xalq Bank:Arranger, Zurcher Kantonalbank [ZKB]:Arranger, mBank SA:Lead arranger",Banks (NEC),T001B6014OL2=R,Term Loan,16-04-24,18-04-25,256.00,"741,500,000","741,500,000",US Dollar,"Sustainability Linked Loans, Sustainable Finance Loans",EMEA,Turkey,Turkey,General Purpose,,Senior,,12,,TCHZNC,"Finance, Insurance and Real Estate\Depository Institutions\Commercial Banks\State Commercial Banks",Commercial Banking,LSTA REFINITIV PRICING,T001B6014OL02,No,100.08,99.80,99.94,LSEG LPC Mark-to-Market Pricing - EMEA,--
ABRDN PLC,,Investment Management & Fund Operators (NEC),,Other Loan,17-04-24,,--,"87,717,100","70,000,000",British Pound,Investment Grade,EMEA,United Kingdom,United Kingdom,General Purpose,,Senior,,--,,ABDN,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Services Allied With The Exchange of Securities Or Commodities\Investment Advice",Portfolio Management and Investment Advice,,,No,--,--,--,,--
ISPT FINANCE PTY LTD,"Australia & New Zealand Banking Group Ltd [ANZ]:Mandated Lead arranger, Bank Sinopac Hong Kong:Arranger, Bank of China Sydney:Mandated Lead arranger, Bank of Queensland Ltd:Mandated Lead arranger, China Construction Bank Sydney:Lead arranger, China Everbright Bank:Lead arranger, Commonwealth Bank of Australia:Mandated Lead arranger, Credit Agricole Corporate & Investment Bank Sydney Branch:Mandated Lead arranger, DBS Bank Ltd:Mandated Lead arranger, Fubon Bank (Hong Kong) Ltd:Lead arranger, HSBC Sydney:Mandated Lead arranger, ING Bank Australia:Mandated Lead arranger, Industrial & Commercial Bank of China Ltd [ICBC]:Mandated Lead arranger, Macquarie Bank Ltd:Mandated Lead arranger, Mega International Commercial Bank Co Ltd:Arranger, National Bank of Kuwait Singapore:Arranger, Sumitomo Mitsui Trust Bank Ltd:Lead arranger, Taipei Fubon Commercial Bank Offshore Banking Branch:Lead arranger, Taishin International Bank Brisbane:Arranger, Westpac Banking Corp:Mandated Lead arranger",Corporate Financial Services (NEC),,Term Loan,18-04-24,18-04-31,--,"487,576,550","750,000,000",Australian Dollar,"Sustainability Linked Loans, Sustainable Finance Loans",Asia,Australia,Australia,General Purpose,BBSY + 170,Senior,No,84,,ISPTF,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Miscellaneous Investing\Real Estate Investment Trusts",Other Financial Vehicles,,,No,--,--,--,,"17,999.61"
ACRT FINANCE PTY LTD,"Australia & New Zealand Banking Group Ltd [ANZ]:Mandated Lead arranger, Bank of China Ltd:Mandated Lead arranger, Commonwealth Bank of Australia:Mandated Lead arranger, Credit Agricole Corporate & Investment Bank SA [Credit Agricole CIB]:Mandated Lead arranger, Credit Industriel et Commercial SA [CIC]:Mandated Lead arranger, Industrial & Commercial Bank of China Ltd [ICBC]:Mandated Lead arranger, National Australia Bank Ltd [NAB]:Mandated Lead arranger, Westpac Banking Corp:Mandated Lead arranger",Corporate Financial Services (NEC),,Revolver/Term Loan,18-04-24,18-04-29,--,"117,018,372","180,000,000",Australian Dollar,,Asia,Australia,Australia,General Purpose,,Senior,Yes,60,,ACRTF,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Investment Offices\Management Investment Offices, Open- End",Other Financial Vehicles,,,No,--,--,--,,--
ACRT FINANCE PTY LTD,"Australia & New Zealand Banking Group Ltd [ANZ]:Mandated Lead arranger, Bank of China Ltd:Mandated Lead arranger, Commonwealth Bank of Australia:Mandated Lead arranger, Credit Agricole Corporate & Investment Bank SA [Credit Agricole CIB]:Mandated Lead arranger, Credit Industriel et Commercial SA [CIC]:Mandated Lead arranger, Industrial & Commercial Bank of China Ltd [ICBC]:Mandated Lead arranger, National Australia Bank Ltd [NAB]:Mandated Lead arranger, Westpac Banking Corp:Mandated Lead arranger",Corporate Financial Services (NEC),,Revolver/Term Loan,18-04-24,18-04-27,--,"370,558,178","570,000,000",Australian Dollar,,Asia,Australia,Australia,General Purpose,,Senior,Yes,36,,ACRTF,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Investment Offices\Management Investment Offices, Open- End",Other Financial Vehicles,,,No,--,--,--,,--
VALMY FINANCEMENT 8 SAS,"Caixabank SA:Participant, Ingepar:Mandated Lead arranger, Mitsubishi UFJ Financial Group Inc:Mandated Lead arranger, Natixis SA:Participant",Industrial Equipment Rental,,Term Loan,18-04-24,31-05-43,--,"192,200,000","192,200,000",US Dollar,Project Finance,EMEA,France,France,Project Finance,,Senior,Yes,229,,VYFMH,"Services\Business Services\Miscellaneous Equipment Rental and Leasing\Equipment Rental and Leasing, Not Elsewhere Classified","Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",,,No,--,--,--,,--
FRANKLIN SQUARE HOLDINGS LP,JP Morgan Chase Bank NA:Admin agent,Investment Management & Fund Operators (NEC),F004L7015TB3=R,Term Loan B,18-04-24,18-04-31,231.00,"700,000,000","700,000,000",US Dollar,"Institutional, Leveraged, Non Investment Grade",North America,United States,United States,General Purpose,,Senior,Yes,84,30259HAG2,FRANA,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Security Brokers, Dealers, and Flotation Companies\Security Brokers, Dealers, and Flotation Companies",Portfolio Management and Investment Advice,LSTA REFINITIV PRICING,F004L7015TB03,No,100.50,100.00,100.25,LSEG LPC/LSTA Mark-to-Market Pricing - USA,--
ACRT FINANCE PTY LTD,"Australia & New Zealand Banking Group Ltd [ANZ]:Mandated Lead arranger, Bank of China Ltd:Mandated Lead arranger, Commonwealth Bank of Australia:Mandated Lead arranger, Credit Agricole Corporate & Investment Bank SA [Credit Agricole CIB]:Mandated Lead arranger, Credit Industriel et Commercial SA [CIC]:Mandated Lead arranger, Industrial & Commercial Bank of China Ltd [ICBC]:Mandated Lead arranger, National Australia Bank Ltd [NAB]:Mandated Lead arranger, Westpac Banking Corp:Mandated Lead arranger",Corporate Financial Services (NEC),,Revolver/Term Loan,18-04-24,18-04-28,--,"188,529,599","290,000,000",Australian Dollar,,Asia,Australia,Australia,General Purpose,,Senior,Yes,48,,ACRTF,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Investment Offices\Management Investment Offices, Open- End",Other Financial Vehicles,,,No,--,--,--,,--
ISPT FINANCE PTY LTD,"Australia & New Zealand Banking Group Ltd [ANZ]:Mandated Lead arranger, Bank Sinopac Hong Kong:Arranger, Bank of China Sydney:Mandated Lead arranger, Bank of Queensland Ltd:Mandated Lead arranger, China Construction Bank Sydney:Lead arranger, China Everbright Bank:Lead arranger, Commonwealth Bank of Australia:Mandated Lead arranger, Credit Agricole Corporate & Investment Bank Sydney Branch:Mandated Lead arranger, DBS Bank Ltd:Mandated Lead arranger, Fubon Bank (Hong Kong) Ltd:Lead arranger, HSBC Sydney:Mandated Lead arranger, ING Bank Australia:Mandated Lead arranger, Industrial & Commercial Bank of China Ltd [ICBC]:Mandated Lead arranger, Macquarie Bank Ltd:Mandated Lead arranger, Mega International Commercial Bank Co Ltd:Arranger, National Bank of Kuwait Singapore:Arranger, Sumitomo Mitsui Trust Bank Ltd:Lead arranger, Taipei Fubon Commercial Bank Offshore Banking Branch:Lead arranger, Taishin International Bank Brisbane:Arranger, Westpac Banking Corp:Mandated Lead arranger",Corporate Financial Services (NEC),,Term Loan,18-04-24,18-04-29,--,"487,576,550","750,000,000",Australian Dollar,"Sustainability Linked Loans, Sustainable Finance Loans",Asia,Australia,Australia,General Purpose,BBSY + 145,Senior,No,60,,ISPTF,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Miscellaneous Investing\Real Estate Investment Trusts",Other Financial Vehicles,,,No,--,--,--,,"15,499.45"
VALMY FINANCEMENT 8 SAS,"Caisse d'Epargne et de Prevoyance Ile-de-France:Participant, Caisse d'Epargne et de Prevoyance Provence Alpes Corse [CEPAC]:Participant, Ingepar:Mandated Lead arranger, Mitsubishi UFJ Financial Group Inc:Mandated Lead arranger, Natixis SA:Participant",Industrial Equipment Rental,,Term Loan,18-04-24,31-05-43,--,"42,709,668","41,000,000",Euro,Project Finance,EMEA,France,France,Project Finance,,Senior,Yes,229,,VYFMH,"Services\Business Services\Miscellaneous Equipment Rental and Leasing\Equipment Rental and Leasing, Not Elsewhere Classified","Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",,,No,--,--,--,,--
MORGAN STANLEY DIRECT LENDING FUND,"Apple Bank for Savings:Participant, ING Capital LLC:Arranger, MUFG Bank Ltd:Arranger, Sumitomo Mitsui Banking Corp:Arranger, Truist Financial:Admin agent",Financial & Commodity Market Operators & Service Providers (NEC),,Revolver/Line >= 1 Yr.,19-04-24,19-04-29,--,"1,300,000,000","1,300,000,000",US Dollar,Investment Grade,North America,United States,United States,General Purpose,,Senior,Yes,60,,MSDL,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Security Brokers, Dealers, and Flotation Companies\Security Brokers, Dealers, and Flotation Companies",Miscellaneous Financial Investment Activities,,,No,--,--,--,,--
THOMAS H LEE EQUITY FUND IX LP,"Bank of America NA:Admin agent, Bank of New York Mellon:Participant, ING Bank NV:Participant, Northern Trust Co:Participant, Royal Bank of Canada:Participant, UBS AG:Participant",Private Equity,,Revolver/Line >= 1 Yr.,19-04-24,18-04-25,--,"1,000,000,000","1,000,000,000",US Dollar,Non Investment Grade,North America,United States,United States,General Purpose,,Senior,,12,88442CAD6,THOMI,"Construction\Building Construction- Generalcontractors and Operative Builders\General Building Contractors- Residential buildings\General Contractors- Residential buildings, Other Than Single- Family",Miscellaneous Intermediation,,,No,--,--,--,,--
PACIFIC ALLIANCE GROUP LTD,,Investment Management & Fund Operators (NEC),,Revolver/Term Loan,19-04-24,,--,"5,520,668,001","40,000,000,000",Chinese Yuan,,Asia,China (Mainland),Hong Kong,Capital expenditure,,Senior,,--,,PILEP,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Services Allied With The Exchange of Securities Or Commodities\Investment Advice",Portfolio Management and Investment Advice,,,No,--,--,--,,--
BLACKROCK OFFSHORE FUNDS,"BNP Paribas SA:Participant, Bank of America NA:Participant, Bank of New York Mellon:Participant, Barclays Bank Plc:Participant, Citibank NA:Participant, Credit Agricole Corporate & Investment Bank SA [Credit Agricole CIB]:Participant, Deutsche Bank AG:Participant, Goldman Sachs & Co:Participant, HSBC Bank Plc:Syndication agent, JP Morgan:Admin agent, Morgan Stanley:Participant, Royal Bank of Canada:Participant, Santander Bank NA:Participant, Societe Generale SA:Participant, State Street Bank:Participant, Wells Fargo & Co:Participant",,,364-Day Facility,19-04-24,17-04-25,--,"1,225,000,000","1,225,000,000",US Dollar,"Non Investment Grade, Investment Grade",North America,United States,,General Purpose,,Senior,,12,,,,,,,No,--,--,--,,--
AECE INTERMEDIATECO 2 LLC,"Associated Bank NA:Participant, Bank of Montreal:Admin agent, Fifth Third Bank:Arranger, Wells Fargo Bank NA:Arranger",Mutual Funds (NEC),,Revolver/Line >= 1 Yr.,19-04-24,19-04-29,--,"5,000,000","5,000,000",US Dollar,"Highly Leveraged, Leveraged, Non Investment Grade",North America,United States,United States,General Purpose,,Senior,,60,,ACICB,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Investment Offices\Management Investment Offices, Open- End",Open-End Investment Funds,,,No,--,--,--,,--
AECE INTERMEDIATECO 2 LLC,"Associated Bank NA:Participant, Bank of Montreal:Admin agent, Fifth Third Bank:Arranger, Wells Fargo Bank NA:Arranger",Mutual Funds (NEC),,Standby Letter of Credit,19-04-24,19-04-25,--,"54,500,000","54,500,000",US Dollar,"Highly Leveraged, Leveraged, Non Investment Grade",North America,United States,United States,General Purpose,,Senior,,12,,ACICB,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Investment Offices\Management Investment Offices, Open- End",Open-End Investment Funds,,,No,--,--,--,,--
FLOCK FINANCIAL LLC,"First Horizon Bank:Participant, Regions Bank:Admin agent, Woodforest National Bank:Participant",Corporate Financial Services (NEC),,Revolver/Line >= 1 Yr.,19-04-24,19-04-27,--,"90,000,000","90,000,000",US Dollar,"Highly Leveraged, Leveraged, Non Investment Grade",North America,United States,United States,General Purpose,,Senior,Yes,36,,FLOCK,"Finance, Insurance and Real Estate\Nondepository Credit Institutions\Personal Credit Institutions\Personal Credit Institutions",Other Financial Vehicles,,,No,--,--,--,,--
AECE INTERMEDIATECO 2 LLC,"Associated Bank NA:Participant, Bank of Montreal:Admin agent, Fifth Third Bank:Arranger, Wells Fargo Bank NA:Arranger",Mutual Funds (NEC),,Term Loan A,19-04-24,19-04-29,--,"35,000,000","35,000,000",US Dollar,"Highly Leveraged, Leveraged, Non Investment Grade",North America,United States,United States,General Purpose,,Senior,,60,,ACICB,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Investment Offices\Management Investment Offices, Open- End",Open-End Investment Funds,,,No,--,--,--,,--
BLACKROCK OFFSHORE FUNDS,"BNP Paribas SA:Participant, Bank of America NA:Participant, Bank of New York Mellon:Participant, Barclays Bank Plc:Participant, Citibank NA:Participant, Credit Agricole Corporate & Investment Bank SA [Credit Agricole CIB]:Participant, Goldman Sachs & Co:Participant, HSBC Bank Plc:Syndication agent, JP Morgan:Admin agent, Morgan Stanley:Participant, Royal Bank of Canada:Participant, Santander Bank NA:Participant, Societe Generale SA:Participant, State Street Bank:Participant, Wells Fargo & Co:Participant",,,364-Day Facility,19-04-24,17-04-25,--,"475,000,000","475,000,000",US Dollar,"Non Investment Grade, Investment Grade",North America,United States,,General Purpose,,Senior,,12,,,,,,,No,--,--,--,,--
BLACKROCK OFFSHORE FUNDS,"BNP Paribas SA:Participant, Bank of America NA:Participant, Bank of New York Mellon:Participant, Barclays Bank Plc:Participant, Citibank NA:Participant, Credit Agricole Corporate & Investment Bank SA [Credit Agricole CIB]:Participant, Goldman Sachs & Co:Participant, HSBC Bank Plc:Syndication agent, JP Morgan:Admin agent, Morgan Stanley:Participant, Royal Bank of Canada:Participant, Santander Bank NA:Participant, Societe Generale SA:Participant, State Street Bank:Participant, Wells Fargo & Co:Participant",,,364-Day Facility,19-04-24,17-04-25,--,"450,000,000","450,000,000",US Dollar,"Non Investment Grade, Investment Grade",North America,United States,,General Purpose,,Senior,,12,,,,,,,No,--,--,--,,--
LANDMARK EQUITY PARTNERS XV LP,"Bank of America NA:Admin agent, Deutsche Bank AG:Participant",Investment Management & Fund Operators (NEC),,Revolver/Line >= 1 Yr.,19-04-24,17-04-25,--,"300,000,000","300,000,000",US Dollar,"Leveraged, Non Investment Grade",North America,United States,United States,General Purpose,,Senior,,12,,LANDM,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Miscellaneous Investing\Real Estate Investment Trusts",Miscellaneous Intermediation,,,No,--,--,--,,--
ARES MANAGEMENT LLC,"Bank of America Merrill Lynch:Syndication agent, Bank of America NA:Syndication agent, Bank of New York Mellon:Participant, Barclays:Participant, Citibank NA:Participant, Citizens Bank NA:Arranger, City National Bank:Participant, Deutsche Bank AG:Participant, Goldman Sachs & Co:Participant, JP Morgan Chase Bank NA:Admin agent, JPMorgan Chase Bank:Admin agent, MUFG Bank Ltd:Documentation, Morgan Stanley:Participant, PNC Bank NA:Arranger, Royal Bank of Canada:Participant, Silicon Valley Bank:Participant, State Street Bank & Trust Co:Participant, State Street Bank:Participant, Sumitomo Mitsui Banking Corp:Participant, Toronto Dominion Bank:Arranger, Truist Financial:Documentation, UBS AG:Participant, US Bank NA:Participant, Wells Fargo & Co:Syndication agent",Investment Management,,Revolver/Line >= 1 Yr.,21-04-24,28-03-29,--,"1,400,000,000","1,400,000,000",US Dollar,"Sustainability Linked Loans, Sustainable Finance Loans, Non Investment Grade, Investment Grade",North America,United States,United States,General Purpose,,Senior,,59,,ARESE,"Finance, Insurance and Real Estate\Insurance Carriers\Pension, Health, and Welfare Funds\Pension, Health, and Welfare Funds",Portfolio Management and Investment Advice,,,No,--,--,--,,--
AMLAK FINANCE PJSC,Saudi Investment Bank [SAIB]:Sole lender,Consumer Lending (NEC),,Other Loan,21-04-24,21-04-25,--,"230,275,425","864,500,000",Saudi Riyal,,EMEA,United Arab Emirates,United Arab Emirates,General Purpose,,Senior,,12,,AMLK,"Finance, Insurance and Real Estate\Nondepository Credit Institutions\Mortgage Bankers and Brokers\Loan Brokers",Mortgage and Nonmortgage Loan Brokers,,,No,--,--,--,,--
EXOLUM FINANCE SA,"Abanca Corporacion Bancaria SA:Lead arranger, BNP Paribas SA:Mandated Lead arranger, Banco Bilbao Vizcaya Argentaria SA [BBVA]:Mandated Lead arranger, Banco Santander SA:Mandated Lead arranger, Banco de Sabadell SA:Mandated Lead arranger, Bankinter SA:Mandated Lead arranger, Caixabank SA:Mandated Lead arranger, Commerzbank AG:Mandated Lead arranger, Credit Agricole Corporate & Investment Bank SA [Credit Agricole CIB]:Mandated Lead arranger, HSBC Bank Plc:Mandated Lead arranger, Ibercaja [Caja de Ahorros de Zaragoza Aragon y Rioja]:Lead arranger, Industrial & Commercial Bank of China Ltd [ICBC]:Mandated Lead arranger, Intesa Sanpaolo SpA [ISP]:Mandated Lead arranger, KUTXABANK:Mandated Lead arranger, Mediobanca SpA [Banca di Credito Finanziario SpA]:Mandated Lead arranger, Mizuho Bank Ltd:Mandated Lead arranger, Unicaja Banco SA:Lead arranger",Corporate Financial Services (NEC),,Term Loan,22-04-24,22-04-29,--,"626,550,713","500,000,000",British Pound,Investment Grade,EMEA,Spain,Spain,General Purpose,,Senior,,60,,EXOLUE,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Investment Offices\Management Investment Offices, Open- End",Other Financial Vehicles,,,No,--,--,--,,--
GOLDMAN SACHS ASSET MANAGEMENT LP,"Bank of America Merrill Lynch:Admin agent, Bank of America NA:Admin agent, Barclays:Participant, Citibank NA:Participant, Citibank:Participant, JP Morgan Chase Bank NA:Participant, JPMorgan Chase Bank National Association:Participant, Morgan Stanley:Participant",Investment Management,,364-Day Facility,22-04-24,20-04-25,--,"200,000,000","200,000,000",US Dollar,"Non Investment Grade, Investment Grade",North America,United States,United States,General Purpose,,Senior,,12,38150LAB7,GSASS,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Services Allied With The Exchange of Securities Or Commodities\Investment Advice",Portfolio Management and Investment Advice,,,No,--,--,--,,--
HINUERA INVESTMENTS SL,"Abanca Corporacion Bancaria SA:Participant, Banca March SA:Participant, Banco Bilbao Vizcaya Argentaria SA [BBVA]:Participant, Banco Santander SA:Mandated Lead arranger, Banco de Sabadell SA:Participant, Caixabank SA:Mandated Lead arranger, Deutsche Bank AG:Participant",Financial & Commodity Market Operators & Service Providers (NEC),,Term Loan A,23-04-24,23-04-29,--,"46,876,465","45,000,000",Euro,"Sponsored, M&A, LBO, Leveraged",EMEA,Spain,Spain,Leveraged Buyout,,Senior,Yes,60,,HININ,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Services Allied With The Exchange of Securities Or Commodities\Services Allied With The Exchange of Securities Or Commodities,",Miscellaneous Financial Investment Activities,,,Yes,--,--,--,,--
HINUERA INVESTMENTS SL,"Abanca Corporacion Bancaria SA:Participant, Banca March SA:Participant, Banco Bilbao Vizcaya Argentaria SA [BBVA]:Participant, Banco Santander SA:Mandated Lead arranger, Banco de Sabadell SA:Participant, Caixabank SA:Mandated Lead arranger, Deutsche Bank AG:Participant",Financial & Commodity Market Operators & Service Providers (NEC),,Revolver/Line >= 1 Yr.,23-04-24,23-04-29,--,"10,416,992","10,000,000",Euro,"Sponsored, M&A, LBO, Leveraged",EMEA,Spain,Spain,Leveraged Buyout,,Senior,Yes,60,,HININ,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Services Allied With The Exchange of Securities Or Commodities\Services Allied With The Exchange of Securities Or Commodities,",Miscellaneous Financial Investment Activities,,,Yes,--,--,--,,--
BBR PARTNERS LLC,"Citizens Bank NA:Arranger, Truist Financial:Admin agent",Investment Management & Fund Operators (NEC),,Term Loan A,23-04-24,23-09-26,--,"12,000,000","12,000,000",US Dollar,Non Investment Grade,North America,United States,United States,General Purpose,,Senior,,29,05543WAG7,BBRPT,"Finance, Insurance and Real Estate\Insurance Carriers\Pension, Health, and Welfare Funds\Pension, Health, and Welfare Funds",Portfolio Management and Investment Advice,,,No,--,--,--,,--
FIRST NATIONAL FINANCIAL CORP,"ATB Financial:Participant, Bank of China Ltd:Participant, Bank of Montreal:Syndication agent, Bank of Nova Scotia:Participant, Canadian Imperial Bank of Commerce:Participant, Canadian Imperial Bank of Commerce:Syndication agent, Desjardins Capital Markets:Participant, Federation des Caisses Desjardins du Quebec:Participant, HSBC Bank Plc:Participant, HSBC:Participant, Laurentian Bank of Canada:Participant, National Bank Financial:Participant, National Bank of Canada:Participant, Royal Bank of Canada:Admin agent, Toronto Dominion Bank:Documentation",Corporate Financial Services (NEC),,Revolver/Line >= 1 Yr.,23-04-24,23-04-29,--,"536,480,687","750,000,000",Canadian Dollar,,North America,Canada,Canada,General Purpose,,Senior,No,60,,FNX,"Finance, Insurance and Real Estate\Nondepository Credit Institutions\Mortgage Bankers and Brokers\Mortgage Bankers and Loan Correspondents",Real Estate Credit,,,No,--,--,--,,--
FIRST NATIONAL FINANCIAL CORP,"ATB Financial:Participant, Bank of China Ltd:Participant, Bank of Montreal:Syndication agent, Bank of Nova Scotia:Participant, Canadian Imperial Bank of Commerce:Participant, Canadian Imperial Bank of Commerce:Syndication agent, Desjardins Capital Markets:Participant, Federation des Caisses Desjardins du Quebec:Participant, HSBC Bank Plc:Participant, HSBC:Participant, Laurentian Bank of Canada:Participant, National Bank Financial:Participant, National Bank of Canada:Participant, Royal Bank of Canada:Admin agent, Toronto Dominion Bank:Documentation",Corporate Financial Services (NEC),,Revolver/Line >= 1 Yr.,23-04-24,23-04-29,--,"536,480,687","750,000,000",Canadian Dollar,,North America,Canada,Canada,General Purpose,,Senior,No,60,,FNX,"Finance, Insurance and Real Estate\Nondepository Credit Institutions\Mortgage Bankers and Brokers\Mortgage Bankers and Loan Correspondents",Real Estate Credit,,,No,--,--,--,,--
HINUERA INVESTMENTS SL,"Abanca Corporacion Bancaria SA:Participant, Banca March SA:Participant, Banco Bilbao Vizcaya Argentaria SA [BBVA]:Participant, Banco Santander SA:Mandated Lead arranger, Banco de Sabadell SA:Participant, Caixabank SA:Mandated Lead arranger, Deutsche Bank AG:Participant",Financial & Commodity Market Operators & Service Providers (NEC),,Term Loan,23-04-24,23-04-29,--,"41,667,969","40,000,000",Euro,"Sponsored, M&A, LBO, Leveraged",EMEA,Spain,Spain,Leveraged Buyout,,Senior,Yes,60,,HININ,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Services Allied With The Exchange of Securities Or Commodities\Services Allied With The Exchange of Securities Or Commodities,",Miscellaneous Financial Investment Activities,,,Yes,--,--,--,,--
HINUERA INVESTMENTS SL,"Abanca Corporacion Bancaria SA:Participant, Banca March SA:Participant, Banco Bilbao Vizcaya Argentaria SA [BBVA]:Participant, Banco Santander SA:Mandated Lead arranger, Banco de Sabadell SA:Participant, Caixabank SA:Mandated Lead arranger, Deutsche Bank AG:Participant",Financial & Commodity Market Operators & Service Providers (NEC),,Term Loan B,23-04-24,23-04-30,--,"98,961,426","95,000,000",Euro,"Sponsored, M&A, Institutional, Covenant Lite, LBO, Leveraged",EMEA,Spain,Spain,Leveraged Buyout,,Senior,Yes,72,,HININ,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Services Allied With The Exchange of Securities Or Commodities\Services Allied With The Exchange of Securities Or Commodities,",Miscellaneous Financial Investment Activities,,,Yes,--,--,--,,--
